,Title,Authors,Pages,Publisher,Format,Price,Source,IsEbook,PriceValue
1,"Invent Your Own Computer Games with Python, 4th Edition",Al Sweigart,377,No Starch Press,BOOK,43.99 CAD,https://play.google.com/store/books/details?id=AQgvDwAAQBAJ&rdid=book-AQgvDwAAQBAJ&rdot=1&source=gbs_api,True,43.99
2,The Pragmatic Programmer,"Andrew Hunt, David Thomas",346,Addison-Wesley Professional,BOOK,47.39 CAD,https://play.google.com/store/books/details?id=5wBQEp6ruIAC&rdid=book-5wBQEp6ruIAC&rdot=1&source=gbs_api,True,47.39
5,Game Programming Patterns,Robert Nystrom,353,Genever Benning,BOOK,35.9 CAD,https://play.google.com/store/books/details?id=9fIwBQAAQBAJ&rdid=book-9fIwBQAAQBAJ&rdot=1&source=gbs_api,True,35.9
6,The Practice of Programming,"Brian W. Kernighan, Rob Pike",283,Addison-Wesley Professional,BOOK,47.39 CAD,https://play.google.com/store/books/details?id=_KbfCQAAQBAJ&rdid=book-_KbfCQAAQBAJ&rdot=1&source=gbs_api,True,47.39
9,Introduction to Stochastic Programming,"John R. Birge, François Louveaux",427,Springer Science & Business Media,BOOK,99.51 CAD,https://play.google.com/store/books/details?id=jRfnBwAAQBAJ&rdid=book-jRfnBwAAQBAJ&rdot=1&source=gbs_api,True,99.51
10,Classic Computer Science Problems in Java,David Kopec,262,Simon and Schuster,BOOK,49.99 CAD,https://play.google.com/store/books/details?id=ATgzEAAAQBAJ&rdid=book-ATgzEAAAQBAJ&rdot=1&source=gbs_api,True,49.99
11,Coders at Work,Peter Seibel,619,Apress,BOOK,81.37 CAD,https://play.google.com/store/books/details?id=2kMIqdfyT8kC&rdid=book-2kMIqdfyT8kC&rdot=1&source=gbs_api,True,81.37
12,Get Programming,Ana Bell,668,Simon and Schuster,BOOK,33.99 CAD,https://play.google.com/store/books/details?id=czgzEAAAQBAJ&rdid=book-czgzEAAAQBAJ&rdot=1&source=gbs_api,True,33.99
14,The Go Programming Language,"Alan A. A. Donovan, Brian W. Kernighan",1202,Addison-Wesley Professional,BOOK,37.28 CAD,https://play.google.com/store/books/details?id=SJHvCgAAQBAJ&rdid=book-SJHvCgAAQBAJ&rdot=1&source=gbs_api,True,37.28
15,Integer Programming,"Michele Conforti, Gérard Cornuéjols, Giacomo Zambelli",466,Springer,BOOK,62.19 CAD,https://play.google.com/store/books/details?id=antqBQAAQBAJ&rdid=book-antqBQAAQBAJ&rdot=1&source=gbs_api,True,62.19
